Latitude and Longitude,Class of Land,vh,vv,RVI
"(10.323727047081501, 105.2516346045924)",Rice,0.0042571407,0.1367127597,0.02099169018310464
"(10.322364360592521, 105.27843410554115)",Rice,0.0053242026,0.008367158500000001,0.9700004011123732
"(10.321455902933202, 105.25254306225168)",Rice,0.0120653687,0.1035484597,0.13485163435867495
"(10.324181275911162, 105.25118037576274)",Rice,0.0040772739,0.1124449223,0.026181940385534733
"(10.324635504740822, 105.27389181724476)",Rice,0.0017574803000000002,0.0415824354,0.032663565991656145
"(10.323727047081501, 105.28070524968936)",Rice,0.0125638759,0.1294329017,0.10527559751891612
"(10.325089733570481, 105.23937042619212)",Rice,0.0054188306000000006,0.10600274800000001,0.042900701377105825
"(10.324181275911162, 105.25390574874059)",Rice,0.0102697592,0.0774895847,0.1601254379716799
"(10.321001674103542, 105.24436694331814)",Rice,0.0059191361,0.0810271576,0.07105111037675374
"(10.321001674103542, 105.2416415703403)",Rice,0.0052678417,0.0704272836,0.07343569285691012
"(10.324635504740822, 105.25572266405916",Rice,0.004064858,0.0757180601,0.046000566939988975
"(10.321001674103542, 105.2334654514068)",Rice,0.0218403824,0.2118849456,0.11425933223503747
"(10.32327281825184, 105.26753261362978)",Rice,0.0021947569000000003,0.0212616492,0.11448469144635676
"(10.324181275911162, 105.28115947851899)",Rice,0.0074870088,0.1235583499,0.054624822757493766
"(10.321001674103542, 105.2598107235259)",Rice,0.0052191098,0.0843332782,0.05627802978755175
"(10.32327281825184, 105.24073311268103)",Rice,0.0038818691,0.106944859,0.02622132016023951
"(10.324635504740822, 105.27843410554115)",Rice,0.0070791882,0.06802957500000001,0.11574420671137466
"(10.324181275911162, 105.2348281378957)",Rice,0.015394003100000001,0.0929088145,0.2143520852837692
"(10.321455902933202, 105.23301122257715)",Rice,0.0064672092,0.13585595790000002,0.038745561277540655
"(10.323727047081501, 105.26026495235556)",Rice,0.0018266938000000002,0.0159828272,0.13139543135924503
"(10.325089733570481, 105.28025102085971)",Rice,0.0028981918000000003,0.0156535506,0.24698672893708426
"(10.32009321644422, 105.23210276491787)",Rice,0.0058095227,0.052338324500000005,0.12631944533251158
"(10.322364360592521, 105.27797987671151)",Rice,0.0037340529,0.0305297058,0.14390576295637916
"(10.32327281825184, 105.27752564788187)",Rice,0.0055724038,0.07304853950000001,0.07547732251248589
"(10.324635504740822, 105.2652614694816)",Rice,0.0023479681000000002,0.022167502000000002,0.11855993193680511
"(10.320547445273881, 105.2266520189622)",Rice,0.005571655,0.1775538921,0.021228187444749278
"(10.323727047081501, 105.2652614694816)",Rice,0.006588792,0.0460953042,0.17690877963484658
"(10.325089733570481, 105.23528236672536)",Rice,0.0035224955000000002,0.11602097,0.020232376556601657
"(10.324635504740822, 105.26798684245944)",Rice,0.0041362359,0.0252632052,0.21108595099252184
"(10.32281858942218, 105.26435301182232)",Rice,0.015492259500000001,0.0753162727,0.2818656491648948
"(10.325089733570481, 105.26344455416304)",Rice,0.0039677215,0.0093984697,0.6469344204232059
"(10.323727047081501, 105.24572962980707)",Rice,0.0042469935,0.0803632364,0.04498296448970602
"(10.324635504740822, 105.2334654514068)",Rice,0.0038443266,0.0498581268,0.07661242618196171
"(10.325089733570481, 105.23164853608824)",Rice,0.0027684309,0.0871861577,0.02159611049261426
"(10.32327281825184, 105.26571569831123)",Rice,0.0054531642,0.045955818100000004,0.13818927673646408
"(10.31963898761456, 105.23074007842897)",Rice,0.0041437303000000005,0.0597731024,0.06602742245313395
"(10.320547445273881, 105.22983162076967)",Rice,0.0089693256,0.1266565472,0.06802771084215287
"(10.32281858942218, 105.28115947851899)",Rice,0.0025999243,0.0327943824,0.07963444016344172
"(10.321910131762861, 105.23028584959931)",Rice,0.0028190378,0.0304608196,0.09861413171778197
