Latitude and Longitude,Class of Land,vh,vv,RVI,ndvi_mean,ndvi_max,ndvi_min
"(10.323727047081501, 105.2516346045924)",Rice,0.0042571407,0.1367127597,0.0209916901831046,0.5578866453175613,0.8562927796629967,0.0832843679436513
"(10.322364360592521, 105.27843410554115)",Rice,0.0053242026,0.0083671585,0.9700004011123732,0.6218292343028319,0.8155752156657724,0.1240802298549391
"(10.321455902933202, 105.25254306225168)",Rice,0.0120653687,0.1035484597,0.1348516343586749,0.5711629824860559,0.8551888352384979,0.0818718037257321
"(10.324181275911162, 105.25118037576274)",Rice,0.0040772739,0.1124449223,0.0261819403855347,0.5554408349714642,0.8569344164399493,0.0790254097301879
"(10.324635504740822, 105.27389181724476)",Rice,0.0017574803,0.0415824354,0.0326635659916561,0.6197207166648331,0.8319704298888343,0.1125390514827736
"(10.323727047081501, 105.28070524968936)",Rice,0.0125638759,0.1294329017,0.1052755975189161,0.6250808173807092,0.8149127489873484,0.1233810918696003
"(10.325089733570481, 105.23937042619212)",Rice,0.0054188306,0.106002748,0.0429007013771058,0.5034379646798632,0.8546520590790512,0.0800942795175078
"(10.324181275911162, 105.25390574874059)",Rice,0.0102697592,0.0774895847,0.1601254379716799,0.5545961086450895,0.8550896243965548,0.0700117584019083
"(10.321001674103542, 105.24436694331814)",Rice,0.0059191361,0.0810271576,0.0710511103767537,0.5465094455895727,0.8574423386185981,0.0903336106230626
"(10.321001674103542, 105.2416415703403)",Rice,0.0052678417,0.0704272836,0.0734356928569101,0.5301533819414043,0.863167714342027,0.0983447674939567
"(10.324635504740822, 105.25572266405916",Rice,0.004064858,0.0757180601,0.0460005669399889,0.5610411149872817,0.8684100894365718,0.0864209593867546
"(10.321001674103542, 105.2334654514068)",Rice,0.0218403824,0.2118849456,0.1142593322350374,0.4980073957477629,0.8586327865677326,0.0874619725249968
"(10.32327281825184, 105.26753261362978)",Rice,0.0021947569,0.0212616492,0.1144846914463567,0.5802136962199242,0.8391835666181364,0.0900957142573933
"(10.324181275911162, 105.28115947851899)",Rice,0.0074870088,0.1235583499,0.0546248227574937,0.6299000630999273,0.8216708228049697,0.1194240743394489
"(10.321001674103542, 105.2598107235259)",Rice,0.0052191098,0.0843332782,0.0562780297875517,0.5516982563491888,0.8658626490238912,0.0857989754727124
"(10.32327281825184, 105.24073311268103)",Rice,0.0038818691,0.106944859,0.0262213201602395,0.5218043219294564,0.8627019744558131,0.089613652841363
"(10.324635504740822, 105.27843410554115)",Rice,0.0070791882,0.068029575,0.1157442067113746,0.6299395558122675,0.8210042123597535,0.118448911700596
"(10.324181275911162, 105.2348281378957)",Rice,0.0153940031,0.0929088145,0.2143520852837692,0.491689018550189,0.8465148049084184,0.0899381198375263
