Latitude and Longitude,Class of Land,vh,vv,RVI,ndvi_mean,ndvi_max,ndvi_min
"(10.323727047081501, 105.2516346045924)",Rice,0.0042571407,0.1367127597,0.0209916901831046,0.3306727488001796,0.491473289003483,0.1698722085968762
"(10.322364360592521, 105.27843410554115)",Rice,0.0053242026,0.0083671585,0.9700004011123732,0.1531157327751256,0.2354866941104016,0.0978390978390978
"(10.321455902933202, 105.25254306225168)",Rice,0.0120653687,0.1035484597,0.1348516343586749,0.2441698857750404,0.4047557104948229,0.0835840610552579
"(10.324181275911162, 105.25118037576274)",Rice,0.0040772739,0.1124449223,0.0261819403855347,0.2951156155352034,0.4592239894640867,0.1310072416063199
"(10.324635504740822, 105.27389181724476)",Rice,0.0017574803,0.0415824354,0.0326635659916561,0.187919840690007,0.3471969571688441,0.0992049775319737
"(10.323727047081501, 105.28070524968936)",Rice,0.0125638759,0.1294329017,0.1052755975189161,0.1671593955304734,0.2952710495963091,0.1012605738928511
"(10.325089733570481, 105.23937042619212)",Rice,0.0054188306,0.106002748,0.0429007013771058,0.3319166496867282,0.5330165637905768,0.1510327022375215
"(10.324181275911162, 105.25390574874059)",Rice,0.0102697592,0.0774895847,0.1601254379716799,0.335988964113909,0.5129521402622019,0.159025787965616
"(10.321001674103542, 105.24436694331814)",Rice,0.0059191361,0.0810271576,0.0710511103767537,0.1183875037671476,0.118829248734526,0.1179457587997691
"(10.321001674103542, 105.2416415703403)",Rice,0.0052678417,0.0704272836,0.0734356928569101,0.3402413236044362,0.4442662389735365,0.1353955173374736
"(10.324635504740822, 105.25572266405916",Rice,0.004064858,0.0757180601,0.0460005669399889,0.2864363407822504,0.4776590943282683,0.0952135872362326
"(10.321001674103542, 105.2334654514068)",Rice,0.0218403824,0.2118849456,0.1142593322350374,0.262730175115537,0.4459903381642512,0.1765014768624877
"(10.32327281825184, 105.26753261362978)",Rice,0.0021947569,0.0212616492,0.1144846914463567,0.2234351756462621,0.3726550616866655,0.1110358070710493
"(10.324181275911162, 105.28115947851899)",Rice,0.0074870088,0.1235583499,0.0546248227574937,0.1883415581817503,0.344284871139091,0.1054890857612567
"(10.321001674103542, 105.2598107235259)",Rice,0.0052191098,0.0843332782,0.0562780297875517,0.2845221987042917,0.4546619947013076,0.1143824027072758
"(10.32327281825184, 105.24073311268103)",Rice,0.0038818691,0.106944859,0.0262213201602395,0.3244741037496063,0.5006473458818843,0.2358563965766367
"(10.324635504740822, 105.27843410554115)",Rice,0.0070791882,0.068029575,0.1157442067113746,0.1362729625236788,0.3365225555505879,-0.0107413276985384
"(10.324181275911162, 105.2348281378957)",Rice,0.0153940031,0.0929088145,0.2143520852837692,0.2976633617124565,0.5010369324449543,0.2208621607237892
"(10.321455902933202, 105.23301122257715)",Rice,0.0064672092,0.1358559579,0.0387455612775406,0.2252911356357619,0.4382409177820267,0.146413998201812
"(10.323727047081501, 105.26026495235556)",Rice,0.0018266938,0.0159828272,0.131395431359245,0.3774844408874622,0.487750365339981,0.2672185164349433
"(10.325089733570481, 105.28025102085971)",Rice,0.0028981918,0.0156535506,0.2469867289370842,0.2099934066581893,0.3642425182198791,0.130417172944512
"(10.32009321644422, 105.23210276491787)",Rice,0.0058095227,0.0523383245,0.1263194453325115,0.2268621453697006,0.4377082661507041,0.1501142319580702
"(10.322364360592521, 105.27797987671151)",Rice,0.0037340529,0.0305297058,0.1439057629563791,0.1541247829260636,0.2079689018464529,0.1059580605791634
"(10.32327281825184, 105.27752564788187)",Rice,0.0055724038,0.0730485395,0.0754773225124858,0.219886535335323,0.3338823916982376,0.1061677419354839
