Latitude and Longitude,Class of Land,vh,vv,RVI,ndvi_mean,ndvi_max,ndvi_min
"(10.323727047081501, 105.2516346045924)",Rice,0.0079396683722734,0.2290333807468414,0.024530991437508,0.3306727488001796,0.491473289003483,0.1698722085968762
"(10.322364360592521, 105.27843410554115)",Rice,0.0019578854553401,0.0264504216611385,0.0723723841822013,0.1531157327751256,0.2354866941104016,0.0978390978390978
"(10.321455902933202, 105.25254306225168)",Rice,0.0149299316108226,0.1768086403608322,0.0869125487730026,0.2441698857750404,0.4047557104948229,0.0835840610552579
"(10.324181275911162, 105.25118037576274)",Rice,0.0083181066438555,0.0671435371041297,0.1463886230697367,0.2951156155352034,0.4592239894640867,0.1310072416063199
"(10.324635504740822, 105.27389181724476)",Rice,0.0094650378450751,0.1991291791200637,0.0386625173229155,0.187919840690007,0.3471969571688441,0.0992049775319737
"(10.323727047081501, 105.28070524968936)",Rice,0.0040318137034773,0.0385544784367084,0.1165214640482966,0.1671593955304734,0.2952710495963091,0.1012605738928511
"(10.325089733570481, 105.23937042619212)",Rice,0.0068268901668488,0.1469667702913284,0.0374099144010851,0.3319166496867282,0.5330165637905768,0.1510327022375215
"(10.324181275911162, 105.25390574874059)",Rice,0.0061673577874898,0.0781557634472847,0.0791204405404816,0.335988964113909,0.5129521402622019,0.159025787965616
"(10.321001674103542, 105.24436694331814)",Rice,0.0070692314766347,0.0706231743097305,0.1097868793023526,0.1183875037671476,0.118829248734526,0.1179457587997691
"(10.321001674103542, 105.2416415703403)",Rice,0.0046030455268919,0.0761627256870269,0.0544235516576875,0.3402413236044362,0.4442662389735365,0.1353955173374736
"(10.324635504740822, 105.25572266405916",Rice,0.0055164196528494,0.0325396135449409,0.220755056946766,0.2864363407822504,0.4776590943282683,0.0952135872362326
"(10.321001674103542, 105.2334654514068)",Rice,0.0092728110030293,0.0769410729408264,0.141094890793472,0.262730175115537,0.4459903381642512,0.1765014768624877
"(10.32327281825184, 105.26753261362978)",Rice,0.005206593312323,0.054430678486824,0.1031843479301364,0.2234351756462621,0.3726550616866655,0.1110358070710493
"(10.324181275911162, 105.28115947851899)",Rice,0.0077744433656334,0.0889812782406807,0.0911064161717567,0.1883415581817503,0.344284871139091,0.1054890857612567
"(10.321001674103542, 105.2598107235259)",Rice,0.0089418087154626,0.1771761327981948,0.0421226507492691,0.2845221987042917,0.4546619947013076,0.1143824027072758
"(10.32327281825184, 105.24073311268103)",Rice,0.0054735294543206,0.0580204427242279,0.101242400634307,0.3244741037496063,0.5006473458818843,0.2358563965766367
"(10.324635504740822, 105.27843410554115)",Rice,0.0030841112602502,0.0227595586329698,0.1649011822016161,0.1362729625236788,0.3365225555505879,-0.0107413276985384
"(10.324181275911162, 105.2348281378957)",Rice,0.0031840067822486,0.0710956081748008,0.0354990312729768,0.2976633617124565,0.5010369324449543,0.2208621607237892
"(10.321455902933202, 105.23301122257715)",Rice,0.0054525230079889,0.0940031334757804,0.0513466387340902,0.2252911356357619,0.4382409177820267,0.146413998201812
"(10.323727047081501, 105.26026495235556)",Rice,0.0040667126886546,0.0190721042454242,0.2947226424265031,0.3774844408874622,0.487750365339981,0.2672185164349433
"(10.325089733570481, 105.28025102085971)",Rice,0.0035431026481091,0.0758195891976356,0.0377321027405877,0.2099934066581893,0.3642425182198791,0.130417172944512
"(10.32009321644422, 105.23210276491787)",Rice,0.0064571774564683,0.0545384921133518,0.1377766337383934,0.2268621453697006,0.4377082661507041,0.1501142319580702
"(10.322364360592521, 105.27797987671151)",Rice,0.0062229633331298,0.0558174923062324,0.1270701042816323,0.1541247829260636,0.2079689018464529,0.1059580605791634
"(10.32327281825184, 105.27752564788187)",Rice,0.0078001949004828,0.2112554162740707,0.0268773594534679,0.219886535335323,0.3338823916982376,0.1061677419354839
"(10.324635504740822, 105.2652614694816)",Rice,0.0027440327685326,0.0115688042715191,0.3357803994035737,0.2469670269286294,0.4149893736717089,0.0901977461194982
"(10.320547445273881, 105.2266520189622)",Rice,0.0065717929974198,0.117527537047863,0.0487451766777995,0.4217610377636571,0.6285045194896149,0.216646735230806
"(10.323727047081501, 105.2652614694816)",Rice,0.0033993981778621,0.1682815700769424,0.0111449934167384,0.1807972235319234,0.3847181628392484,0.0457587761234804
"(10.325089733570481, 105.23528236672536)",Rice,0.0039480039849877,0.0377592705190181,0.1164953657587461,0.3176613470377498,0.4885695436422568,0.2117816729531839
"(10.324635504740822, 105.26798684245944)",Rice,0.0035785727668553,0.0436871387064456,0.0833307845928445,0.1650844164635061,0.2912157336702741,0.0940729545361708
"(10.32281858942218, 105.26435301182232)",Rice,0.0097507424652576,0.0780659392476081,0.147996343844634,0.2007224236367351,0.3779047456615358,0.1090722254844392
"(10.325089733570481, 105.26344455416304)",Rice,0.001823004335165,0.011939094401896,0.1928477336384641,0.2376197851972177,0.4899363718997532,0.0880120759780285
"(10.323727047081501, 105.24572962980707)",Rice,0.0104957846924662,0.181460365653038,0.0511421890840337,0.3197630212926248,0.5479595959595959,0.1717756435556724
"(10.324635504740822, 105.2334654514068)",Rice,0.0030975758563727,0.0771539807319641,0.030332815246367,0.2724321274633282,0.495874297752809,0.1315987528222771
"(10.325089733570481, 105.23164853608824)",Rice,0.0079641267657279,0.046940267086029,0.2209818401041625,0.3950784586954602,0.526167698368036,0.2687924925787608
"(10.32327281825184, 105.26571569831123)",Rice,0.0052224206738173,0.126963660120964,0.0314115364503474,0.1787185775643381,0.3836437246963563,0.0363332714789385
"(10.31963898761456, 105.23074007842897)",Rice,0.0050263875164091,0.0616844519972801,0.0827273922174915,0.2694496903398707,0.4364621569655655,0.1876409799087237
"(10.320547445273881, 105.22983162076967)",Rice,0.0060297343879938,0.013103294186294,0.7076714643414737,0.4651183217499076,0.5059144024661266,0.3950115814562422
"(10.32281858942218, 105.28115947851899)",Rice,0.0039708809927105,0.0333508178591728,0.1388187700394852,0.0680191051787306,0.2544101663740489,-0.2139423076923076
"(10.321910131762861, 105.23028584959931)",Rice,0.0046591651625931,0.0794391930103302,0.0521603953443482,0.3961429264947766,0.4608458212788089,0.3334405532547947
"(10.324181275911162, 105.26071918118518)",Rice,0.0048600709997117,0.0258384328335523,0.2519695716506354,0.3020146501092469,0.4916659615872748,0.1123633386312189
"(10.325089733570481, 105.26026495235556)",Rice,0.0027717389166355,0.0271887332201004,0.112555181141094,0.2848570146885445,0.5040047907777528,0.1248767200488424
"(10.325089733570481, 105.2448211721478)",Rice,0.0060679726302623,0.1482077091932296,0.0312017677219245,0.322221840150947,0.5270312710305531,0.1913085465958474
"(10.324181275911162, 105.24300425682924)",Rice,0.0030216018203645,0.0403063781559467,0.0736653367618556,0.2469654379134882,0.5128108039883883,0.1056352252070289
"(10.32281858942218, 105.27570873256332)",Rice,0.0057258047163486,0.1585821211338043,0.0260211819355786,0.1295509220080937,0.401799894123875,-0.0417310664605873
"(10.323727047081501, 105.28252216500792)",Rice,0.0049599935300648,0.0338033735752105,0.1830835880335084,0.1888250493189958,0.3939666479295485,0.1058072362420188
"(10.31963898761456, 105.23937042619212)",Rice,0.0217061657458543,0.2601669728755951,0.085477955646344,0.2447658920972921,0.370692655760529,0.1330163423502617
"(10.32281858942218, 105.28161370734864)",Rice,0.0047175381332635,0.046442937105894,0.1120034151878243,0.0879734424727089,0.2826123548224205,-0.1111805121798875
"(10.324635504740822, 105.28161370734864)",Rice,0.0061558741144835,0.1377466022968292,0.0353909470859436,0.133985284630197,0.3511258278145695,-0.0616915422885572
"(10.32327281825184, 105.26117341001483)",Rice,0.0076898350380361,0.1372446864843368,0.0488852414806067,0.325564485786427,0.4955734160172984,0.1555555555555555
"(10.32327281825184, 105.2788883343708)",Rice,0.0066317152231931,0.0466106832027435,0.1758378551781265,0.1740591313675203,0.2733165286280158,0.1195448217420253
"(10.324181275911162, 105.2516346045924)",Rice,0.0068089948035776,0.0512585416436195,0.1606143681805151,0.311421084825022,0.4681672025723473,0.1546749670776966
"(10.323727047081501, 105.23982465502175)",Rice,0.0060642953030765,0.0614480674266815,0.1076850818139234,0.3229124472140934,0.5243548387096774,0.175454869782376
"(10.31963898761456, 105.23028584959931)",Rice,0.0024959805887192,0.0659445524215698,0.0278581146815207,0.2594842530776629,0.4606225193231669,0.1731083575006591
"(10.32327281825184, 105.28706445330431)",Rice,0.0084696570411324,0.0198813620954751,0.6531391490186431,0.1719097627206509,0.5091583958686355,-0.021613423073277
"(10.324181275911162, 105.27752564788187)",Rice,0.0043032821267843,0.087389126420021,0.0406686400309336,0.1933570466772818,0.3472735674676525,0.0986286603988262
"(10.323727047081501, 105.26480724065195)",Rice,0.0028971773572266,0.1005380377173423,0.0187508077942008,0.1611230145329054,0.3720719554807817,-0.0125208232575635
"(10.321910131762861, 105.2266520189622)",Rice,0.0034151833970099,0.0332960709929466,0.1134964298956823,0.2848041097254816,0.4634236226276028,0.1613043478260869
"(10.324181275911162, 105.25072614693312)",Rice,0.0052524623461067,0.048758465796709,0.121305907808938,0.2800766329509762,0.4519844229016488,0.1081688430003036
"(10.32327281825184, 105.27071221543727)",Rice,0.0050055650062859,0.1634825468063354,0.0204826316582699,0.2181175124372384,0.3438748764662914,0.0843275854306424
"(10.325089733570481, 105.25890226586662)",Rice,0.0144500341266393,0.1605291962623596,0.0949256429569589,0.2725299638973636,0.451925348452634,0.0663759267335368
"(10.321455902933202, 105.25208883342202)",Rice,0.0035027924459427,0.1206674128770828,0.0189520196985079,0.270235160463908,0.4176492963103842,0.1228210246174317
"(10.324635504740822, 105.26162763884446)",Rice,0.0065011489205062,0.0548113584518432,0.1381088622662246,0.242577695916849,0.4894305962854349,0.0929796020523088
"(10.325089733570481, 105.28751868213396)",Rice,0.0023879546206444,0.0149762919172644,0.2039929603519486,0.2081180006619333,0.5240573245777063,0.0677854557420204
"(10.32009321644422, 105.24845500278491)",Rice,0.0096636647358536,0.1648494750261306,0.0521231404900594,0.2577002530716414,0.4963991934193258,0.0926780172775308
"(10.324181275911162, 105.23982465502175)",Rice,0.0039091543294489,0.0642772614955902,0.0549082271679393,0.2773898258085026,0.5543184745128994,0.0416586676905356
"(10.31963898761456, 105.23891619736247)",Rice,0.0052485605701804,0.122696153819561,0.03323431928047,0.2594079953742681,0.4269152290855129,0.0985583995292733
"(10.325089733570481, 105.26389878299267)",Rice,0.0023550458718091,0.0197524260729551,0.1390754339322842,0.2330462169773254,0.4930863665733362,0.0665118819994536
"(10.321455902933202, 105.26117341001483)",Rice,0.0053713480010628,0.2443241029977798,0.0126202797411408,0.2807484271690259,0.3986435568952524,0.1628532974427994
"(10.319184758784901, 105.22710624779182)",Rice,0.0031809441279619,0.0179423466324806,0.2337500363645458,0.390354605998471,0.5471725023176212,0.2564529867051809
"(10.321001674103542, 105.25254306225168)",Rice,0.0080669494345784,0.0681956112384796,0.1376121937088482,0.3048204929496783,0.4493156119817497,0.1603253739176068
"(10.321455902933202, 105.23164853608824)",Rice,0.0088085988536477,0.2474344223737716,0.0254942459226109,0.2606615813564069,0.4526702305740051,0.1797644686798331
"(10.324181275911162, 105.24936346044419)",Rice,0.0086605297401547,0.0803782865405082,0.1213410115024705,0.2218234855691683,0.4593143833109674,0.0856478791400348
"(10.324181275911162, 105.27979679203008)",Rice,0.0024548447690904,0.0370345078408718,0.0619977634566426,0.1746508833569994,0.3024453024453024,0.0935215207578358
"(10.324181275911162, 105.2598107235259)",Rice,0.0059324712492525,0.0184190981090068,0.4809755746116566,0.2748620266462778,0.502996852227157,0.1444120505344995
"(10.324181275911162, 105.28706445330431)",Rice,0.0043927920050919,0.0186346154659986,0.3332754955965391,0.1865237753278817,0.5265700483091788,0.035256719005876
"(10.32281858942218, 105.27934256320043)",Rice,0.0013668385799974,0.0025828008074313,0.814328559673882,0.1672157337852906,0.3196632709882406,0.0817578565168398
"(10.320547445273881, 105.22710624779182)",Rice,0.005087109748274,0.258512794971466,0.0107238017984863,0.4434347458624469,0.607834965617837,0.2160864345738295
"(10.32327281825184, 105.26162763884446)",Rice,0.0033837917726486,0.0325487330555915,0.1155936121394732,0.3130103062951374,0.4998035191896257,0.1262170934006491
"(10.324635504740822, 105.25208883342202)",Rice,0.0034251569304615,0.0806955024600029,0.0328644751111754,0.3162098099470816,0.4833580850877959,0.1490615348063673
"(10.321001674103542, 105.25027191810346)",Rice,0.0138050504028797,0.1758542656898498,0.0785517230780826,0.2429060706919397,0.4820409751037344,0.1226998927304232
"(10.318730529955241, 105.22756047662148)",Rice,0.0042156954295933,0.0992132723331451,0.0329155067917214,0.416838111501867,0.5675180553109036,0.2349257721803982
"(10.31963898761456, 105.23255699374752)",Rice,0.0051963608711957,0.1067031696438789,0.040028245110839,0.2396464181552191,0.4217084521843567,0.1637781025962274
"(10.323727047081501, 105.23800773970319)",Rice,0.0064914301037788,0.0554725937545299,0.135631682884612,0.3076196872009549,0.4799817601459189,0.1476765062001586
"(10.323727047081501, 105.27797987671151)",Rice,0.0094291707500815,0.1061151400208473,0.0932496890552627,0.1574708603425348,0.2139510211298735,0.1009906995551961
"(10.323727047081501, 105.26844107128906)",Rice,0.0047855526208877,0.0715362578630447,0.062803686824414,0.2639048223727147,0.4689767005206109,0.1311182009182164
"(10.31963898761456, 105.2416415703403)",Rice,0.0053683700971305,0.0385855101048946,0.1707370738160446,0.2777675894413983,0.4005293339214821,0.1476200204290091
"(10.32327281825184, 105.25663112171844)",Rice,0.0112830325961112,0.1863926947116851,0.0545467321490034,0.3462707952159472,0.4691907000381146,0.2233508903937798
"(10.32327281825184, 105.27979679203008)",Rice,0.0021007587201893,0.0167905762791633,0.1483304381723216,0.1592505799641843,0.2868198010072473,0.0689298533795705
"(10.323727047081501, 105.28888136862287)",Rice,0.014590767212212,0.0724530071020126,0.2745178651373299,0.1810354983997204,0.5215796019900498,0.0011027384671935
"(10.324635504740822, 105.26344455416304)",Rice,0.0026434995234012,0.0108040729537606,0.348628594891211,0.2402187982391399,0.491066524506478,0.1006564551422319
"(10.324181275911162, 105.26208186767411)",Rice,0.0026828025002032,0.0307360012084245,0.0909822548262632,0.2522278126097652,0.495491819999184,0.1214501510574018
"(10.319184758784901, 105.23573659555498)",Rice,0.0075766672380268,0.0540248751640319,0.1725400551322584,0.3985366736503197,0.4714450431795186,0.2744363663068223
"(10.320547445273881, 105.25435997757023)",Rice,0.0032524671405553,0.0243834275752306,0.1614987158886701,0.2414422726301046,0.4566171437774288,0.131775236200895
"(10.31963898761456, 105.24255002799958)",Rice,0.0095806457102298,0.0766291245818138,0.1481894990843376,0.2385460570304182,0.3714902807775377,0.1275518228429429
"(10.320547445273881, 105.23619082438464)",Rice,0.0031474197749048,0.0752147212624549,0.0321982712609003,0.3116015690532736,0.3944145819019521,0.2349646226415094
"(10.324181275911162, 105.23709928204391)",Rice,0.008214465342462,0.0347844213247299,0.3339974317867044,0.3344294817244319,0.5029475338966398,0.1539888682745825
"(10.324635504740822, 105.26026495235556)",Rice,0.0049926731735467,0.0866386815905571,0.0508737247815982,0.2869385807913963,0.5158195316961737,0.124859392575928
"(10.32009321644422, 105.23846196853285)",Rice,0.0061047743074595,0.0868395492434501,0.0673333316770536,0.2637733968,0.4498217970362033,0.1446198512066775
"(10.325089733570481, 105.25617689288879)",Rice,0.0070724100805819,0.0787480399012565,0.094629155006903,0.2934520529796587,0.4772230763006716,0.1096810296586457
"(10.321455902933202, 105.23074007842897)",Rice,0.0142128132283687,0.2003000676631927,0.0682181600463327,0.2310270500334185,0.4525401603750965,0.1241636844562004
"(10.325089733570481, 105.26071918118518)",Rice,0.0042645283974707,0.1316358298063278,0.0222349217421656,0.2884840858110905,0.5052256240009836,0.1182424765103718
"(10.323727047081501, 105.24073311268103)",Rice,0.0100691281259059,0.087245762348175,0.1331308928789947,0.3250432992660049,0.5069185737094198,0.2335060589987352
